ds_type,pipeline_base_name,pipeline_category,chunk_size,operator_index,operator_name,chunk_parts,chunk_actual_time,chunk_pred_time,chunk_actual_time_mean,chunk_actual_time_median,chunk_actual_time_min,chunk_actual_time_max,chunk_pred_time_mean,chunk_pred_time_median,chunk_pred_time_min,chunk_pred_time_max,chunk_self_mae,chunk_self_mape,chunk_self_valid_rows,chunk_self_rmse,chunk_self_accuracy,full_pipeline_name,full_scale_token,full_scale_value,full_actual_time,full_pred_time,chunk_actual_abs_error,chunk_pred_abs_error,full_pred_abs_error,chunk_actual_relative_error,chunk_pred_relative_error,full_pred_relative_error,chunk_actual_sum_vs_full_relative_error,chunk_pred_sum_vs_full_relative_error
audio,audio_pipeline_1781071552218,mixed,100,1,audio_size_filter,213,473.123,392.51660919189453,2.2212347417840377,2.224,1.541,2.344,1.8428009821215705,1.844573736190796,1.7966151237487793,1.8615803718566895,0.38126171414729015,17.13036022376171,213,0.3843134130975504,82.86963977623829,audio_pipeline_1781071552218_8G,8G,8192.0,5.615,6.433547019958496,467.508,386.9016091918945,0.8185470199584959,83.26055209260907,68.9050060893846,0.14577863222769294,83.26055209260907,68.9050060893846
audio,audio_pipeline_1781071552218,mixed,100,2,audio_nmf_snr_filter,213,4303.79,6450.10870552063,20.205586854460094,20.009,14.275,25.526,30.28220049540202,30.413963317871094,27.421022415161133,30.753517150878906,10.076613640941925,51.07750023365282,213,10.234855936677219,48.92249976634718,audio_pipeline_1781071552218_8G,8G,8192.0,3812.413,1481.017822265625,491.37699999999995,2637.69570552063,2331.395177734375,0.12888871168994542,0.6918703995397744,0.6115274440975768,0.12888871168994542,0.6918703995397744
audio,audio_pipeline_1781071552218,mixed,100,3,audio_duration_filter,213,740.517,827.0082168579102,3.476605633802817,3.492,2.827,3.676,3.8826676847789208,3.8898134231567383,3.6875009536743164,4.011562347412109,0.40606205097610404,11.863124387752785,213,0.4303102462398766,88.13687561224721,audio_pipeline_1781071552218_8G,8G,8192.0,12.473,13.215689659118652,728.0440000000001,814.5352168579102,0.7426896591186516,58.369598332397985,65.30387371585907,0.0595437873100819,58.369598332397985,65.30387371585907
audio,audio_pipeline_1781071552218,mixed,100,4,audio_add_gaussian_noise_mapper,213,592.988,808.8873515129089,2.783981220657277,2.826,2.194,2.956,3.797593199591122,3.7977824211120605,3.5948281288146973,3.954570770263672,1.0136119789338447,36.93089353522287,213,1.0268709932600173,63.06910646477713,audio_pipeline_1781071552218_8G,8G,8192.0,33.731,28.153209686279297,559.2570000000001,775.1563515129089,5.577790313720705,16.57991165396816,22.980532789211967,0.1653609532394742,16.57991165396816,22.980532789211967
audio,audio_pipeline_1781071552218,mixed,200,1,audio_size_filter,107,237.47,215.0403335094452,2.2193457943925234,2.219,1.597,2.344,2.009722743078927,2.0135421752929688,1.8447070121765137,2.0372257232666016,0.21740888636580138,9.793920863076941,107,0.22457263433218724,90.20607913692305,audio_pipeline_1781071552218_8G,8G,8192.0,5.615,6.433547019958496,231.855,209.42533350944518,0.8185470199584959,41.29207479964381,37.29747702750582,0.14577863222769294,41.29207479964381,37.29747702750582
audio,audio_pipeline_1781071552218,mixed,200,2,audio_nmf_snr_filter,107,4178.564,3510.6266746520996,39.052,39.062,19.725,50.925,32.809595090206535,32.891265869140625,30.515583038330078,34.74617385864258,6.450378766781816,16.23942792722672,107,7.0968973088024825,83.76057207277327,audio_pipeline_1781071552218_8G,8G,8192.0,3812.413,1481.017822265625,366.1510000000003,301.7863253479004,2331.395177734375,0.09604179819972293,0.07915887532329273,0.6115274440975768,0.09604179819972293,0.07915887532329273
audio,audio_pipeline_1781071552218,mixed,200,3,audio_duration_filter,107,372.713,427.25996112823486,3.483299065420561,3.488,2.886,3.671,3.993083748862008,3.994257926940918,3.890758991241455,4.004640579223633,0.5097846834414473,14.719345159431352,107,0.5179988453181659,85.28065484056864,audio_pipeline_1781071552218_8G,8G,8192.0,12.473,13.215689659118652,360.24,414.78696112823485,0.7426896591186516,28.881584221919343,33.254787230677046,0.0595437873100819,28.881584221919343,33.254787230677046
audio,audio_pipeline_1781071552218,mixed,200,4,audio_add_gaussian_noise_mapper,107,301.351,423.2416281700134,2.8163644859813086,2.816,2.671,2.92,3.9555292352337705,3.959571361541748,3.798369884490967,3.975615978240967,1.139164749252462,40.497903211361354,107,1.140605567257213,59.502096788638646,audio_pipeline_1781071552218_8G,8G,8192.0,33.731,28.153209686279297,267.62,389.51062817001343,5.577790313720705,7.933948000355755,11.547556496101906,0.1653609532394742,7.933948000355755,11.547556496101906
audio,audio_pipeline_1781071552218,mixed,500,1,audio_size_filter,43,95.796,90.49999642372131,2.227813953488372,2.219,2.138,2.318,2.104651079621426,2.1108222007751465,2.014569044113159,2.141218423843384,0.1231628738669462,5.490467632341941,43,0.13364717569226986,94.50953236765805,audio_pipeline_1781071552218_8G,8G,8192.0,5.615,6.433547019958496,90.18100000000001,84.88499642372132,0.8185470199584959,16.060730186999113,15.11754166050246,0.14577863222769294,16.060730186999113,15.11754166050246
audio,audio_pipeline_1781071552218,mixed,500,2,audio_nmf_snr_filter,43,4053.709,2539.9340286254883,94.27230232558139,95.26,59.682,103.632,59.068233223848566,58.83940124511719,44.06513214111328,61.44215774536133,35.204069101732834,37.116964482273005,43,35.604009644060554,62.883035517726995,audio_pipeline_1781071552218_8G,8G,8192.0,3812.413,1481.017822265625,241.29599999999982,1272.4789713745117,2331.395177734375,0.06329219840557668,0.3337725926793639,0.6115274440975768,0.06329219840557668,0.3337725926793639
