level,ds_type,chunk_size,pipeline_category,pipeline_base_name,operator_name,row_count,sample_count,skipped_count,rmse,mae,mape,accuracy,actual_time_sum,pred_time_sum
by_pipeline_category,text,,mixed,,,3600,3600,0,0.5069298024036687,0.33360491624911626,22.929871192849863,77.07012880715014,5001.648,5890.825060009956
by_pipeline_category_chunk_size,audio,100.0,filter-heavy,,,852,852,0,4.402179927635493,2.7194799235661824,52.06494400723946,47.93505599276054,4722.846,6690.974648475647
by_pipeline_category_chunk_size,audio,200.0,filter-heavy,,,428,428,0,2.0718769112975255,1.3462424723589532,39.75931620935388,60.24068379064612,3795.616,3775.3275277614594
by_pipeline_category_chunk_size,audio,500.0,filter-heavy,,,172,172,0,13.42838781292708,7.0735924822230665,34.58386449965541,65.41613550034458,3355.197,2323.361953020096
by_pipeline_category_chunk_size,audio,1000.0,filter-heavy,,,88,88,0,33.642279573842565,16.91523031494834,25.71961836790173,74.28038163209827,3128.014,1699.8596658706665
by_pipeline_category_chunk_size,audio,100.0,mapper-heavy,,,639,639,0,2.8537197343122274,2.2338266348741795,58.00314657346808,41.99685342653192,6831.046,6999.8460812568665
by_pipeline_category_chunk_size,audio,200.0,mapper-heavy,,,321,321,0,9.254446210301898,6.15852217118688,42.910548933250695,57.089451066749305,6077.365,4750.7314920425415
by_pipeline_category_chunk_size,audio,500.0,mapper-heavy,,,129,129,0,35.14331550175422,20.60143249354991,29.241912527831804,70.7580874721682,5615.635,3070.3898978233337
by_pipeline_category_chunk_size,audio,1000.0,mapper-heavy,,,66,66,0,88.5507952895609,51.45488516252692,35.01042442127602,64.98957557872399,5484.370000000001,2119.3031334877014
by_pipeline_category_chunk_size,audio,100.0,mixed,,,852,852,0,2.780393157119312,1.5030688823623837,17.195950831725664,82.80404916827433,6110.418,7016.257796049118
by_pipeline_category_chunk_size,audio,200.0,mixed,,,428,428,0,5.640887250674178,2.892498176877744,15.293352765104268,84.70664723489573,5090.098,3951.4455246925354
by_pipeline_category_chunk_size,audio,500.0,mixed,,,172,172,0,19.64510212824263,9.993096982645435,20.732897066072873,79.26710293392713,4430.539999999999,2787.144979953766
by_pipeline_category_chunk_size,audio,1000.0,mixed,,,88,88,0,54.806507159962806,27.11667668942972,20.94600932013337,79.05399067986663,4286.598,1924.527393579483
by_pipeline_category_chunk_size,image,100.0,filter-heavy,,,4208,4208,0,0.21000338126271936,0.1471741012216974,12.509238389413326,87.49076161058667,4903.845,5028.184049844742
by_pipeline_category_chunk_size,image,200.0,filter-heavy,,,2104,2104,0,0.2816855610729592,0.14221298385708958,11.966067689002124,88.03393231099787,2440.197,2487.6532443761826
by_pipeline_category_chunk_size,image,500.0,filter-heavy,,,848,848,0,0.5080157407455431,0.20037004359150837,15.482918010343024,84.51708198965697,1049.777,1057.5008255243301
by_pipeline_category_chunk_size,image,1000.0,filter-heavy,,,424,424,0,0.7367855693422787,0.37369430242619434,26.408485550913603,73.59151444908639,621.725,667.418368935585
by_pipeline_category_chunk_size,image,100.0,mapper-heavy,,,3682,3682,0,1.8820842031794829,0.9590046944035452,24.390160022645397,75.6098399773546,10660.338,7553.298879146576
by_pipeline_category_chunk_size,image,200.0,mapper-heavy,,,1841,1841,0,2.360532511641454,1.3099453235799239,26.52678715022411,73.47321284977589,7503.132,5346.934631228447
by_pipeline_category_chunk_size,image,500.0,mapper-heavy,,,742,742,0,2.9785352333877624,1.6821984582397171,26.339285605953485,73.66071439404652,4349.705,3214.5775742530823
by_pipeline_category_chunk_size,image,1000.0,mapper-heavy,,,371,371,0,3.4861150369846015,2.0546135734959114,27.477358779408707,72.5226412205913,2657.973,1992.149976491928
by_pipeline_category_chunk_size,image,100.0,mixed,,,4208,4208,0,0.5742352318200707,0.364958695497038,17.36153457208421,82.63846542791579,7320.0509999999995,6270.668969973922
by_pipeline_category_chunk_size,image,200.0,mixed,,,2104,2104,0,0.7066829742832013,0.473625276236933,18.805810882581994,81.194189117418,3980.96,3277.221847653389
by_pipeline_category_chunk_size,image,500.0,mixed,,,848,848,0,0.8100109786472415,0.5147404173612594,20.42211814752732,79.57788185247267,1658.4810000000002,1352.2031831741333
by_pipeline_category_chunk_size,image,1000.0,mixed,,,424,424,0,1.5150942809946217,0.7236687030249609,26.7086848813676,73.2913151186324,995.367,741.2105508595705
by_pipeline_category_chunk_size,text,100.0,filter-heavy,,,2300,2300,0,0.527740254516278,0.33306116672059766,13.368900326128484,86.63109967387152,4846.589,4791.254880070686
by_pipeline_category_chunk_size,text,200.0,filter-heavy,,,1150,1150,0,0.5681085911029493,0.41917752558169163,17.612404692171772,82.38759530782824,2477.788,2575.911192178726
by_pipeline_category_chunk_size,text,500.0,filter-heavy,,,460,460,0,0.5876037009137116,0.4565742465682652,21.301159768234008,78.69884023176598,994.9770000000001,1097.0114600658417
